dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec17,605.mcf_s,605.mcf_s-1644B,605.mcf_s-1644B.champsimtrace.xz,50000002,247938658,0.20166300000000001,1466138,271845,1194293,23.885899999999999,0.81458399999999997,4769441,95.388800000000003,4769441,1194292,1169867,0.79792399999999997,0,0,24426,0.016660100000000001,0,0,0,0,2338349,0.49027737212809636,1560710,0.32723122059796944,870123,0.1824371032160792,259,5.4304057854998103e-05,2338349,0.49027737212809636,0,0,0,0,1560710,0.32723122059796944,870123,0.1824371032160792,0,0,0,0,259,5.4304057854998103e-05,0,0,870925,0.72923958294956337,323367,0.27076041705043657
spec17,605.mcf_s,605.mcf_s-472B,605.mcf_s-472B.champsimtrace.xz,50000002,75563849,0.66169199999999995,135968,68909,67059,1.34118,0.493197,3091581,61.831600000000002,3091581,67059,38561,0.28360299999999999,0,0,28498,0.209593,0,0,0,0,399728,0.12929565811149699,2683995,0.86816260030062287,5049,0.0016331449831008794,2809,0.00090859660477923755,399728,0.12929565811149699,0,0,0,0,2683995,0.86816260030062287,5049,0.0016331449831008794,0,0,0,0,2809,0.00090859660477923755,0,0,7822,0.1166435526924052,59237,0.88335644730759477
spec17,605.mcf_s,605.mcf_s-782B,605.mcf_s-782B.champsimtrace.xz,50000001,411043503,0.121642,4455033,4394815,60218,1.2043600000000001,0.013516800000000001,5187456,103.749,5187456,60218,58018,0.013023,0,0,2200,0.00049382400000000002,0,0,0,0,1079319,0.20806325875342363,4094087,0.78922828453870264,13136,0.0025322624423224022,914,0.00017619426555136081,1079319,0.20806325875342363,0,0,0,0,4094087,0.78922828453870264,13136,0.0025322624423224022,0,0,0,0,914,0.00017619426555136081,0,0,13564,0.22524826463848019,46654,0.77475173536151987
spec17,605.mcf_s,605.mcf_s-994B,605.mcf_s-994B.champsimtrace.xz,50000001,164686571,0.30360700000000002,846079,389486,456593,9.1318599999999996,0.53965799999999997,2897884,57.957700000000003,2897884,456593,419458,0.49576700000000001,0,0,37135,0.043890699999999998,0,0,0,0,915755,0.31600816319769875,1831379,0.63197112099725183,147009,0.050729773862583871,3741,0.0012909419424656059,915755,0.31600816319769875,0,0,0,0,1831379,0.63197112099725183,147009,0.050729773862583871,0,0,0,0,3741,0.0012909419424656059,0,0,149894,0.32828799390266605,306699,0.67171200609733395
spec17,620.omnetpp_s,620.omnetpp_s-141B,620.omnetpp_s-141B.champsimtrace.xz,50000003,112525561,0.44434400000000002,1149296,899414,249882,4.9976399999999996,0.217422,1230612,24.612200000000001,1230612,249882,240651,0.20938999999999999,863,0.000750894,8368,0.0072809800000000003,0,0,0,0,379317,0.30823443944963969,790100,0.64203827038904215,60725,0.049345366370553839,470,0.00038192379076427014,377861,0.30705128830208062,1456,0.0011831511475591007,0,0,790100,0.64203827038904215,60639,0.049275482442882081,86,6.9883927671760069e-05,0,0,470,0.00038192379076427014,0,0,61190,0.24487558127436149,188692,0.75512441872563851
spec17,620.omnetpp_s,620.omnetpp_s-874B,620.omnetpp_s-874B.champsimtrace.xz,50000000,100970222,0.49519600000000003,1075336,855978,219358,4.3871599999999997,0.20399,1128274,22.5655,1128274,219358,212009,0.197156,1109,0.0010313099999999999,6240,0.0058028400000000001,0,0,0,0,332824,0.29498508341058999,740753,0.65653644416161328,54291,0.048118630758131449,406,0.00035984166966534722,331837,0.29411029590330007,987,0.00087478750728989588,0,0,740753,0.65653644416161328,54133,0.047978593852202565,158,0.00014003690592887899,0,0,406,0.00035984166966534722,0,0,54667,0.24921361427438252,164691,0.75078638572561751
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,623.xalancbmk_s-10B.champsimtrace.xz,50000005,86367237,0.57892299999999997,400573,120045,280528,5.6105600000000004,0.70031699999999997,2828227,56.564500000000002,2828227,280528,244063,0.60928499999999997,2666,0.0066554700000000001,33799,0.084376599999999996,0,0,0,0,660473,0.2335289918383496,2119931,0.74956182795793969,46118,0.016306329018144584,1705,0.00060285118556608079,638623,0.22580330362449691,21850,0.0077256882138527069,0,0,2119931,0.74956182795793969,45108,0.015949214826108372,1010,0.00035711419203621208,0,0,1705,0.00060285118556608079,0,0,47795,0.17037514971767523,232733,0.8296248502823248
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,623.xalancbmk_s-592B.champsimtrace.xz,50000000,50836777,0.98353999999999997,1258864,1183917,74947,1.4989399999999999,0.059535400000000002,154572,3.09144,154572,74947,71528,0.056819500000000002,1581,0.00125589,1838,0.0014600500000000001,0,0,0,0,109005,0.70520534120021738,44337,0.28683720208058383,1155,0.0074722459436379167,75,0.00048521077556090366,107166,0.69330797298346403,1839,0.011897368216753358,0,0,44337,0.28683720208058383,1072,0.0069352793520171827,83,0.00053696659162073336,0,0,75,0.00048521077556090366,0,0,1228,0.016384912004483169,73719,0.98361508799551678
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,623.xalancbmk_s-700B.champsimtrace.xz,50000000,49554039,1.0089999999999999,1468341,1384512,83829,1.67658,0.057091000000000003,111576,2.2315200000000002,111576,83829,80089,0.054543899999999999,977,0.00066537699999999998,2763,0.0018817199999999999,0,0,0,0,63058,0.56515738151573813,47314,0.42405176740517675,1133,0.010154513515451352,71,0.00063633756363375637,61953,0.55525381802538176,1105,0.0099035634903563482,0,0,47314,0.42405176740517675,1081,0.0096884634688463468,52,0.00046605004660500466,0,0,71,0.00063633756363375637,0,0,1203,0.01435064237912894,82626,0.98564935762087102
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,649.fotonik3d_s-10881B.champsimtrace.xz,50000000,58462434,0.85524999999999995,239223,69437,169786,3.3957199999999998,0.70973900000000001,1953020,39.060400000000001,1953020,169786,117833,0.492566,0,0,51953,0.21717400000000001,0,0,0,0,294466,0.15077469764774554,1637304,0.83834471741200811,14728,0.0075411414117622965,6522,0.0033394435284840912,294466,0.15077469764774554,0,0,0,0,1637304,0.83834471741200811,14728,0.0075411414117622965,0,0,0,0,6522,0.0033394435284840912,0,0,21021,0.12380879460026151,148765,0.87619120539973849
