dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
gap,cc,cc.kron-10B,100000002,557485491,0.179377,1705707,530407,1175300,11.753,0.68904,1175300,0.68904,0,0,0,0,0,0,0,0
gap,cc,cc.kron-17B,100000001,722157384,0.138474,1937758,118649,1819109,18.1911,0.93877,1819109,0.93877,0,0,0,0,0,0,0,0
gap,cc,cc.kron-78B,100000002,719552184,0.138975,1938958,118847,1820111,18.2011,0.938706,1820111,0.938706,0,0,0,0,0,0,0,0
gap,cc,cc.kron-82B,100000000,719410810,0.139003,3725594,1982251,1743343,17.4334,0.467937,1743343,0.467937,0,0,0,0,0,0,0,0
gap,cc,cc.kron-99B,100000001,560081776,0.178545,1708425,526807,1181618,11.8162,0.691642,1181618,0.691642,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-10B,100000001,240704918,0.415446,2360932,869782,1491150,14.9115,0.631594,1491150,0.631594,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-15B,100000005,282982548,0.353379,2074425,410465,1663960,16.6396,0.802131,1663960,0.802131,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-16B,100000005,212998713,0.469486,1484276,337244,1147032,11.4703,0.772789,1147032,0.772789,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-17B,100000000,271026039,0.368968,2359131,932129,1427002,14.27,0.604885,1427002,0.604885,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-25B,100000001,527947736,0.189413,1888682,449174,1439508,14.3951,0.762176,1439508,0.762176,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-69B,100000001,259769797,0.384956,2739877,334207,2405670,24.0567,0.878021,2405670,0.878021,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-78B,100000003,252189368,0.396527,1798916,373757,1425159,14.2516,0.792232,1425159,0.792232,0,0,0,0,0,0,0,0
