dataset,workload,trace_tag,discard_pgc_ipc,pref_ipc,pref_speedup,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
gap,bfs,bfs.twitter-163B,0.31022,0.32311600000000001,1.0415704983560055,0.37499300000000002,1.2087969827864098,0.323577,1.0430565405196313,0.37473800000000002,1.2079749854941655
gap,bfs,bfs.twitter-242B,0.227297,0.23235900000000001,1.0222704215189817,0.25022899999999998,1.1008900249453357,0.232321,1.0221032393740348,0.25015500000000002,1.1005644597157025
gap,bfs,bfs.twitter-408B,0.31628200000000001,0.325239,1.0283196640972296,0.34068999999999999,1.0771716379686482,0.32592300000000002,1.03048229111995,0.34159200000000001,1.0800235233114752
gap,bfs,bfs.twitter-44B,0.33088200000000001,0.34171000000000001,1.0327246571285231,0.34658899999999998,1.0474700950792124,0.34171000000000001,1.0327246571285231,0.34681600000000001,1.0481561402554385
gap,bfs,bfs.urand-118B,0.13857900000000001,0.13858000000000001,1.0000072161005635,0.186776,1.3477943988627425,0.13835,0.99834751297094071,0.18688399999999999,1.3485737377236089
gap,bfs,bfs.urand-161B,0.18761,0.19647700000000001,1.0472629390757422,0.19917499999999999,1.0616438356164384,0.19671,1.0485048771387453,0.19933100000000001,1.0624753477959596
gap,bfs,bfs.urand-356B,0.15174199999999999,0.15184500000000001,1.0006787837250071,0.203235,1.3393457315706925,0.15187600000000001,1.0008830778558344,0.20340800000000001,1.340485824623374
gap,bfs,bfs.urand-36B,0.28595900000000002,0.29942299999999999,1.0470836728342174,0.30596099999999998,1.0699470903171433,0.300514,1.0508989050877922,0.30460100000000001,1.0651911637682325
gap,bfs,bfs.urand-410B,0.16899500000000001,0.18176999999999999,1.0755939524838012,0.184172,1.0898073907512056,0.182032,1.0771442942098879,0.18312,1.0835823545075298
gap,bfs,bfs.urand-60B,0.17673,0.18757099999999999,1.0613421603576076,0.189468,1.0720760482091325,0.18859400000000001,1.0671306512759577,0.18970600000000001,1.0734227352458554
gap,cc,cc.kron-10B,0.193663,0.195411,1.0090259884438431,0.23564199999999999,1.2167631400938743,0.195769,1.0108745604477882,0.23568,1.2169593572339579
gap,cc,cc.kron-17B,0.147759,0.14938100000000001,1.0109773347139599,0.18473400000000001,1.2502385641483769,0.14979100000000001,1.013752123390115,0.18492900000000001,1.2515582807138652
gap,cc,cc.kron-78B,0.148479,0.15008199999999999,1.0107961395214138,0.185532,1.2495504414765726,0.15055299999999999,1.0139683052822284,0.185701,1.2506886495733405
gap,cc,cc.kron-82B,0.13985300000000001,0.140404,1.0039398511294002,0.16489899999999999,1.1790880424445667,0.14027999999999999,1.0030532058661594,0.164995,1.1797744774870758
gap,cc,cc.kron-99B,0.19120899999999999,0.193912,1.0141363638740855,0.23499100000000001,1.228974577556496,0.194304,1.0161864765779853,0.23508100000000001,1.2294452666976974
gap,cc,cc.twitter-10B,0.42025600000000002,0.42236699999999999,1.0050231287596132,0.48016599999999998,1.1425559658874589,0.42343799999999998,1.007571575420696,0.48028599999999999,1.1428415061295971
gap,cc,cc.twitter-15B,0.39591799999999999,0.40464699999999998,1.0220474946832425,0.457756,1.1561889078041412,0.40913300000000002,1.0333781237528985,0.45990399999999998,1.1616142736627282
gap,cc,cc.twitter-16B,0.51918500000000001,0.53454299999999999,1.0295809778787908,0.61038099999999995,1.1756522241590184,0.54038200000000003,1.0408274507160262,0.611537,1.1778787907971147
gap,cc,cc.twitter-17B,0.373025,0.37488500000000002,1.0049862609744655,0.43001600000000001,1.1527806447289055,0.37575399999999998,1.0073158635480195,0.43058600000000002,1.1543086924468871
gap,cc,cc.twitter-25B,0.22431499999999999,0.23113400000000001,1.0303992153890735,0.26043500000000003,1.1610235606178814,0.23386100000000001,1.0425562267347259,0.26077699999999998,1.1625482023047946
gap,cc,cc.twitter-69B,0.42630299999999999,0.432639,1.0148626681022652,0.49076700000000001,1.1512163883435023,0.43218600000000001,1.0138000436309387,0.49274400000000002,1.1558539348773056
gap,cc,cc.twitter-78B,0.44868999999999998,0.46251500000000001,1.0308119191423923,0.52200100000000005,1.1633889767991266,0.46944200000000003,1.0462501950121466,0.52415500000000004,1.1681896186676772
gap,cc,cc.twitter-85B,0.46232000000000001,0.47924,1.0365980273403703,0.54088099999999995,1.1699277556670702,0.48492600000000002,1.0488968679702371,0.54278099999999996,1.1740374632289323
gap,cc,cc.urand-353B,0.46061299999999999,0.50051999999999996,1.0866388920851127,0.54996999999999996,1.1939958272997071,0.52116600000000002,1.131461769424658,0.55332300000000001,1.2012752571030345
gap,cc,cc.web-101B,0.52716200000000002,0.65607499999999996,1.2445415261342812,0.67762900000000004,1.285428388237392,0.67212400000000005,1.2749856780268685,0.69842599999999999,1.3248792591271752
gap,cc,cc.web-13B,0.92733600000000005,1.0562,1.1389614983134484,1.1176900000000001,1.2052697188505568,1.0867199999999999,1.1718729780791426,1.1571400000000001,1.2478109336853094
gap,cc,cc.web-34B,0.80430999999999997,0.93959400000000004,1.1681988288097873,0.97793799999999997,1.2158719896557297,0.97601300000000002,1.2134786338600789,1.02651,1.2762616404122789
gap,cc,cc.web-99B,0.79400800000000005,0.91922599999999999,1.1577037007183806,0.95743400000000001,1.2058241226788646,0.95861300000000005,1.207308994367815,1.00404,1.2645212642693777
gap,pr,pr.kron-349B,0.0236917,0.0237372,1.00192050380513,0.029031700000000001,1.2253953916350453,0.0237174,1.0010847680833372,0.0290225,1.2250070699865354
gap,pr,pr.kron-90B,0.023568200000000001,0.023577899999999999,1.000411571524342,0.028642299999999999,1.2152943372849856,0.023532500000000001,0.99848524707020481,0.028648400000000001,1.2155531606147265
gap,pr,pr.twitter-168B,0.033404099999999999,0.033411000000000003,1.0002065614699993,0.039166899999999998,1.1725177448277306,0.033419299999999999,1.0004550339628968,0.039154300000000003,1.1721405456216454
gap,pr,pr.twitter-2161B,0.050535200000000002,0.0508107,1.0054516455856513,0.056361399999999999,1.1152899365194953,0.050768199999999999,1.0046106476277921,0.056455100000000001,1.117144089664234
gap,pr,pr.twitter-2741B,0.032103300000000001,0.032128299999999999,1.0007787361423903,0.0375558,1.1698423526553345,0.032151600000000002,1.0015045182270981,0.037540700000000003,1.1693719960253308
gap,pr,pr.twitter-3197B,0.0315193,0.031530599999999999,1.000358510499916,0.0369588,1.172576802149794,0.0315451,1.0008185460971533,0.036974,1.1730590463620703
