dataset,workload,trace_tag,baseline_ipc,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
gap,bfs,bfs.urand-161B,0.19647700000000001,0.19917499999999999,1.0137318871929029,0.19671,1.0011858894425301,0.19933100000000001,1.0145258732574296
gap,bfs,bfs.urand-356B,0.15184500000000001,0.203235,1.3384372221673415,0.15187600000000001,1.0002041555533603,0.20340800000000001,1.3395765418683525
gap,bfs,bfs.urand-36B,0.29942299999999999,0.30596099999999998,1.021835329951273,0.300514,1.0036436746676107,0.30460100000000001,1.0172932607047556
gap,bfs,bfs.urand-410B,0.18176999999999999,0.184172,1.0132145018429886,0.182032,1.0014413819662211,0.18312,1.0074269681465589
gap,bfs,bfs.urand-60B,0.18757099999999999,0.189468,1.010113503686604,0.18859400000000001,1.005453934776698,0.18970600000000001,1.0113823565476541
gap,cc,cc.kron-10B,0.195411,0.23564199999999999,1.2058788911576113,0.195769,1.0018320360675703,0.23568,1.2060733530865713
gap,cc,cc.kron-17B,0.14938100000000001,0.18473400000000001,1.2366632972064719,0.14979100000000001,1.0027446596287346,0.18492900000000001,1.2379686841030653
gap,cc,cc.kron-78B,0.15008199999999999,0.185532,1.2362042083660933,0.15055299999999999,1.0031382844045256,0.185701,1.237330259458163
gap,cc,cc.kron-82B,0.140404,0.16489899999999999,1.174460841571465,0.14027999999999999,0.99911683427822562,0.164995,1.1751445827754194
gap,cc,cc.kron-99B,0.193912,0.23499100000000001,1.2118435166467263,0.194304,1.0020215355418953,0.23508100000000001,1.2123076447048147
gap,cc,cc.twitter-10B,0.42236699999999999,0.48016599999999998,1.1368454448382568,0.42343799999999998,1.0025357094659384,0.48028599999999999,1.137129557943684
gap,cc,cc.twitter-15B,0.40464699999999998,0.457756,1.1312477295025047,0.40913300000000002,1.0110862060017745,0.45990399999999998,1.1365560599732607
gap,cc,cc.twitter-16B,0.53454299999999999,0.61038099999999995,1.141874460988171,0.54038200000000003,1.0109233494779655,0.611537,1.1440370559524677
gap,cc,cc.twitter-17B,0.37488500000000002,0.43001600000000001,1.1470610987369458,0.37575399999999998,1.0023180442002213,0.43058600000000002,1.1485815650132707
gap,cc,cc.twitter-25B,0.23113400000000001,0.26043500000000003,1.126770617909957,0.23386100000000001,1.0117983507402633,0.26077699999999998,1.1282502790589009
gap,cc,cc.twitter-69B,0.432639,0.49076700000000001,1.1343568194268201,0.43218600000000001,0.9989529376685875,0.49274400000000002,1.1389264490718591
gap,cc,cc.twitter-78B,0.46251500000000001,0.52200100000000005,1.1286142071067966,0.46944200000000003,1.0149768115628683,0.52415500000000004,1.1332713533615126
gap,cc,cc.twitter-85B,0.47924,0.54088099999999995,1.1286224021367164,0.48492600000000002,1.0118646189800518,0.54278099999999996,1.1325870127702193
gap,cc,cc.urand-353B,0.50051999999999996,0.54996999999999996,1.0987972508591066,0.52116600000000002,1.0412491009350278,0.55332300000000001,1.1054962838647808
gap,cc,cc.web-101B,0.65607499999999996,0.67762900000000004,1.0328529512631941,0.67212400000000005,1.024462142285562,0.69842599999999999,1.0645520710284648
gap,cc,cc.web-13B,1.0562,1.1176900000000001,1.0582181405036926,1.0867199999999999,1.028896042416209,1.1571400000000001,1.0955690210187465
gap,cc,cc.web-34B,0.93959400000000004,0.97793799999999997,1.04080911542645,0.97601300000000002,1.038760358197264,1.02651,1.0925037835490647
gap,cc,cc.web-99B,0.91922599999999999,0.95743400000000001,1.0415654039376607,0.95861300000000005,1.042848004734418,1.00404,1.0922667548568035
gap,pr,pr.kron-349B,0.0237372,0.029031700000000001,1.2230465261277657,0.0237174,0.99916586623527626,0.0290225,1.2226589488229445
gap,pr,pr.kron-90B,0.023577899999999999,0.028642299999999999,1.2147943625174422,0.023532500000000001,0.99807446803998667,0.028648400000000001,1.2150530793666952
gap,pr,pr.twitter-168B,0.033411000000000003,0.039166899999999998,1.172275597856993,0.033419299999999999,1.0002484211786535,0.039154300000000003,1.1718984765496394
gap,pr,pr.twitter-2161B,0.0508107,0.056361399999999999,1.1092427382421419,0.050768199999999999,0.99916356200564049,0.056455100000000001,1.1110868380085297
gap,pr,pr.twitter-2741B,0.032128299999999999,0.0375558,1.1689320630098698,0.032151600000000002,1.0007252173317607,0.037540700000000003,1.1684620723785575
gap,pr,pr.twitter-3197B,0.031530599999999999,0.0369588,1.1721565717112901,0.0315451,1.0004598707287524,0.036974,1.1726386430959133
gap,pr,pr.twitter-833B,0.028177000000000001,0.0328571,1.1660964616531213,0.028183900000000001,1.0002448805763566,0.032860599999999997,1.1662206764382297
gap,pr,pr.urand-2209B,0.021530799999999999,0.0248776,1.1554424359522173,0.021515599999999999,0.99929403459230493,0.0248284,1.1531573373957309
gap,sssp,sssp.kron-246B,0.18216499999999999,0.28854200000000002,1.5839595970685918,0.18227599999999999,1.0006093376883594,0.289746,1.5905689896522384
gap,sssp,sssp.road-66B,0.34956900000000002,0.36826999999999999,1.0534973066833728,0.34951300000000002,0.99983980272850281,0.36852000000000001,1.0542124730739855
gap,sssp,sssp.twitter-1116B,0.29244999999999999,0.30428500000000003,1.04046845614635,0.29067500000000002,0.99393058642503007,0.30466399999999999,1.0417644041716534
gap,sssp,sssp.twitter-792B,0.102714,0.147564,1.4366493369939832,0.102613,0.99901668711178604,0.14766699999999999,1.4376521214245379
gap,sssp,sssp.twitter-900B,0.33305600000000002,0.37766499999999997,1.1339384367794003,0.33549600000000002,1.007326095311299,0.38048199999999999,1.1423964738662566
gap,sssp,sssp.urand-3381B,0.16875899999999999,0.26996700000000001,1.599719126091053,0.16797799999999999,0.99537209867325593,0.27299800000000002,1.6176796496779433
gap,sssp,sssp.urand-3988B,0.175957,0.27375300000000002,1.5557948817040528,0.176727,1.0043760691532591,0.27591500000000002,1.5680819745733334
gap,sssp,sssp.urand-4669B,0.170181,0.25692100000000001,1.5096926213854662,0.17075799999999999,1.0033905077535095,0.25821699999999997,1.5173080426134526
gap,sssp,sssp.urand-4819B,0.16788,0.24992900000000001,1.4887360019061235,0.16824600000000001,1.0021801286633309,0.25143799999999999,1.4977245651655944
gap,sssp,sssp.web-1185B,0.36844100000000002,0.52460899999999999,1.4238616223493041,0.37023699999999998,1.0048745932184528,0.53618600000000005,1.4552832068092314
gap,tc,tc.twitter-34B,0.58890900000000002,0.59630499999999997,1.0125588163875912,0.589897,1.0016776785547512,0.597271,1.0141991377275605
gap,tc,tc.urand-1112B,0.15492500000000001,0.243454,1.5714313377440696,0.15501200000000001,1.0005615620461514,0.243949,1.574626432144586
gap,tc,tc.urand-187B,0.14460899999999999,0.227243,1.5714305471996903,0.14504600000000001,1.0030219419261597,0.22744500000000001,1.5728274173806611
gap,tc,tc.urand-455B,0.115922,0.18085499999999999,1.5601438898569728,0.11594699999999999,1.0002156622556546,0.18085599999999999,1.560152516347199
gap,tc,tc.urand-504B,0.13045899999999999,0.20365,1.5610268360174462,0.13047600000000001,1.0001303091392699,0.20372199999999999,1.5615787335484712
gap,tc,tc.urand-825B,0.073986399999999994,0.101837,1.376428640939416,0.074134699999999998,1.0020044224343934,0.101838,1.3764421569369507
ligra,ligra_BC,ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M,0.55940900000000005,0.56624699999999994,1.0122236145646564,0.55912200000000001,0.99948695855804959,0.56644799999999995,1.0125829223341061
ligra,ligra_BFS,ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M,0.62271900000000002,0.63325200000000004,1.0169145312733352,0.62414800000000004,1.0022947750108797,0.63503399999999999,1.0197761751287497
ligra,ligra_BellmanFord,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_33750M.length_250M,0.40173300000000001,0.41558200000000001,1.0344731450988591,0.40292699999999998,1.002972123275907,0.41550300000000001,1.0342764970764164
ligra,ligra_CF,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M,1.07325,1.4463900000000001,1.3476729559748428,1.07372,1.0004379221989284,1.4499599999999999,1.3509993011879804
ligra,ligra_Components,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M,0.453374,0.45805299999999999,1.0103203977290272,0.45405000000000001,1.0014910427152859,0.45885700000000001,1.0120937680590418
ligra,ligra_Components-Shortcut,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M,0.467553,0.47050399999999998,1.0063115839273835,0.46678700000000001,0.99836168306053008,0.46968700000000002,1.0045641884449463
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_21750M.length_250M,0.590144,0.607626,1.0296232783862922,0.59117399999999998,1.001745336731374,0.60936500000000005,1.0325700168094567
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_60750M.length_250M,0.85189300000000001,0.85836599999999996,1.007598372096026,0.85448500000000005,1.0030426356361657,0.86144900000000002,1.0112173711956784
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_79500M.length_250M,0.51149,0.52846700000000002,1.0331912647363586,0.51268800000000003,1.0023421767776497,0.52978199999999998,1.0357621849889538
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M,0.64897000000000005,0.65966499999999995,1.016479960552876,0.64880300000000002,0.99974266915265719,0.66162600000000005,1.019501671880056
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,0.68164800000000003,0.70074800000000004,1.0280203272070043,0.68317399999999995,1.0022386921108841,0.70089599999999996,1.0282374480670375
