dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,100000000,96266512,1.03878,3055032,2879314,175718,1.75718,0.0575176,174056,0.0569735,1662,0.00054402,0,0,0,0,0,0
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,100000001,118019893,0.847315,464476,124877,339599,3.39599,0.731144,339599,0.731144,0,0,0,0,0,0,0,0
gap,bc,bc.kron-2608B,100000002,208227589,0.480244,1848180,33778,1814402,18.144,0.981724,1814402,0.981724,0,0,0,0,0,0,0,0
gap,bc,bc.kron-5154B,100000002,104329028,0.958506,290771,4665,286106,2.86106,0.983956,286106,0.983956,0,0,0,0,0,0,0,0
gap,bc,bc.road-131B,100000004,616552602,0.162192,1495040,647402,847638,8.47638,0.566967,847638,0.566967,0,0,0,0,0,0,0,0
gap,bc,bc.road-174B,100000000,430252128,0.232422,1734429,856773,877656,8.77656,0.50602,877656,0.50602,0,0,0,0,0,0,0,0
gap,bc,bc.road-79B,100000000,355719966,0.28112,1948326,1210826,737500,7.375,0.37853,737500,0.37853,0,0,0,0,0,0,0,0
gap,bc,bc.road-95B,100000000,467113044,0.214081,1444575,652070,792505,7.92505,0.548608,792505,0.548608,0,0,0,0,0,0,0,0
gap,bc,bc.twitter-1658B,100000002,247351406,0.404283,1016701,29000,987701,9.87701,0.971476,987701,0.971476,0,0,0,0,0,0,0,0
gap,bc,bc.twitter-2320B,100000003,169155744,0.591171,1967713,62255,1905458,19.0546,0.968362,1905458,0.968362,0,0,0,0,0,0,0,0
gap,bc,bc.twitter-309B,100000002,498115829,0.200757,4320993,49271,4271722,42.7172,0.988597,4271722,0.988597,0,0,0,0,0,0,0,0
gap,bc,bc.twitter-876B,100000005,558915221,0.178918,7008665,366616,6642049,66.4205,0.947691,6642049,0.947691,0,0,0,0,0,0,0,0
gap,bc,bc.urand-3004B,100000002,304607465,0.328291,1100723,19168,1081555,10.8155,0.982586,1081555,0.982586,0,0,0,0,0,0,0,0
gap,bfs,bfs.kron-128B,100000002,199759455,0.500602,117741,8144,109597,1.09597,0.930831,109597,0.930831,0,0,0,0,0,0,0,0
gap,bfs,bfs.kron-542B,100000001,499898877,0.20004,3528494,1771054,1757440,17.5744,0.498071,1757399,0.498059,41,1.16197e-05,0,0,0,0,0,0
gap,bfs,bfs.road-112B,100000002,524461669,0.190672,1296660,507461,789199,7.89199,0.60864,787586,0.607396,1613,0.00124397,0,0,0,0,0,0
