access_id,cycle,ip,vaddr,vpn,offset,type,origin,cpu,instr_id,is_instr,prefetch_from_this
303,1410310,0,139669186681984,34098922529,50,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
304,1410553,0,139669186675968,34098922528,20,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
305,1411116,0,139669186673152,34098922527,40,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
306,1411696,0,139669186669312,34098922526,44,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
307,1411884,0,139669186664320,34098922525,30,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
308,1412154,0,139669186659968,34098922524,26,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
309,1412189,0,139669186657984,34098922523,59,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
310,1412649,0,139669186653696,34098922522,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
311,1412781,0,139669186640064,34098922519,35,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
312,1412841,0,139669186645504,34098922520,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
313,1413124,0,139669186636864,34098922518,49,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
314,1413225,0,139669186625280,34098922515,60,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
315,1414132,0,139669186620544,34098922514,50,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
316,1414184,0,139669186613120,34098922512,62,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
317,1414648,0,139669186603584,34098922510,41,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
318,1414912,0,139669186608128,34098922511,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
319,1415276,0,139669186599232,34098922509,37,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
320,1415381,0,139669186883840,34098922579,4,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
321,1416144,0,139669186843520,34098922569,14,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
322,1416189,0,139669186878144,34098922577,43,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
323,1416220,0,139669186857024,34098922572,33,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
324,1416849,0,139669186847232,34098922570,8,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
325,1416910,0,139669186841600,34098922568,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
326,1416923,0,139669186829056,34098922565,44,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
327,1417258,0,139669186823744,34098922564,25,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
328,1417400,0,139669186816128,34098922562,34,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
329,1417624,0,139669186820224,34098922563,34,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
330,1417646,0,139669186813440,34098922561,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
331,1417952,0,139669186804992,34098922559,52,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
332,1418179,0,139669186792832,34098922556,54,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
333,1418369,0,139669186794752,34098922557,20,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
334,1418590,0,139669186785664,34098922555,6,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
335,1418675,0,139669186779456,34098922553,37,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
336,1418959,0,139669186781312,34098922554,2,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
337,1419229,0,139669186775872,34098922552,45,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
338,1419395,0,139669186768000,34098922550,50,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
339,1419704,0,139669186772544,34098922551,57,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
340,1419966,0,139669186761728,34098922549,16,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
341,1420424,0,139669186757376,34098922548,12,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
342,1420544,0,139669186751488,34098922546,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
343,1420774,0,139669186746688,34098922545,37,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
344,1420827,0,139669186738368,34098922543,35,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
345,1420946,0,139669186742720,34098922544,39,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
346,1421028,0,139669186726272,34098922540,38,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
347,1421089,0,139669186731712,34098922541,59,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
348,1421701,0,139669186717760,34098922538,33,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
349,1421714,0,139669186721536,34098922539,28,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
350,1421733,0,139669186711744,34098922537,3,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
351,1421759,0,139669186706432,34098922535,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
352,1421914,0,139669186708736,34098922536,20,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
353,1422154,0,139669186698752,34098922533,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
354,1422189,0,139669186701312,34098922534,32,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
355,1422276,0,139669186691456,34098922532,6,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
356,1422577,0,139669186690944,34098922531,62,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
