dataset,workload,num_traces,permit_dtlb_real_demand_mpki,cppb_dtlb_real_demand_mpki,tlb_rescue_dtlb_real_demand_mpki,cppb_tlb_rescue_dtlb_real_demand_mpki,cppb_dtlb_real_demand_mpki_reduction_pct,tlb_rescue_dtlb_real_demand_mpki_reduction_pct,cppb_tlb_rescue_dtlb_real_demand_mpki_reduction_pct
xsbench,xsbench_XXL100nuclide,7,37.283780941030152,37.290439572011671,37.308625345028304,37.327456952530419,-0.017859323312863218,-0.066635956362492976,-0.11714480237223768
xsbench,xsbench_XXL100unionized,1,26.540118672994065,26.541319203760423,26.675460000000001,26.738508663074565,-0.0045234566625307338,-0.50994996922772984,-0.74750980779287879
xsbench,xsbench_XXL64hash,2,30.308294829601152,30.314204829594452,30.413109428446912,30.410989147945543,-0.019499612322393389,-0.34582809569145834,-0.33883238539731408
xsbench,xsbench_XXL64nuclide,3,36.826938893562307,36.838205420360651,36.893135697758545,36.919935468207818,-0.030593166678638539,-0.17975103602165809,-0.2525232273969058
xsbench,xsbench_XXL64unionized,1,26.537410000000001,26.540888672955568,26.702838664858067,26.748309732516901,-0.013108562424002379,-0.62337908958736143,-0.79472613384992119
spec06,gmean_spec06,17,41.01110880290878,41.017677119156986,43.014489176576092,42.985954671255065,-0.01601594406961393,-4.8849700292063813,-4.8153925265395747
spec17,gmean_spec17,12,43.030158061185752,43.028411399996536,43.793040534075772,43.751368197092006,0.0040591558755909141,-1.7729018606096103,-1.6760573709274862
gap,gmean_gap,71,49.409743466036716,49.414346415215562,50.082409376592345,50.103839271307109,-0.0093158734612908134,-1.361403365751146,-1.4047751649378659
ligra,gmean_ligra,15,33.153152859892266,33.228247190611192,34.372872839564657,34.433688211488139,-0.22650735824818469,-3.6790467103597013,-3.8624843827297806
qmm,gmean_qmm,30,22.383817218832558,22.362628547160643,22.659726853070818,22.627798218064715,0.094660671434043664,-1.2326299466300261,-1.0899883467011318
parsec,gmean_parsec,6,19.964121206298831,19.962731206321962,19.96551620626536,19.964401206288144,0.0069624901717690868,-0.0069875350490633537,-0.0014025159756458905
xsbench,gmean_xsbench,28,31.65962697824795,31.664130569957276,31.713618460710791,31.731241998973527,-0.014225030864767341,-0.17053732976681779,-0.2262029832972523
all,gmean_all,179,38.529098461253525,38.534830451266224,39.194263578055015,39.199724519343548,-0.014877041616911946,-1.7263967841614658,-1.7405703348196244
