trace_tag,dataset,workload,discard_stlb_data_demand_mpki,useful_vs_discard_miss_pct,demand_miss_reduction_pct,cross_pq_drop_rate_pct,trigger_page_walk_pct_of_requested,too_early_among_useless_pct,combined_local_pollution_candidates_per_fill_pct,high_need_low_coverage_score
tc.urand-455B,gap,tc,14.78214,0.11743901762532354,0.11838610647714065,5.77958,0.324302333142698,1.2321660181582361,23.032518760823553,0.37598204264870927
xs.XXL64hash-205B,xsbench,xsbench_XXL64hash,9.3498799065012,0.05689912597808741,0.07080304773965014,0.0535384,0.6505726986599175,0.9003939223410242,4.717741935483871,0.35139271502907865
pr.twitter-2161B,gap,pr,71.93856856122864,0.5725996499513404,0.5744206480612556,36.2472,0.7272630898567414,14.471114626850914,54.539888348640375,0.3461891643709825
tc.urand-504B,gap,tc,11.64014,0.11236978249402499,0.11348660754939373,8.584909999999999,0.3155021218685327,1.0166358595194085,17.949680811115286,0.34047546168758286
xs.XXL100hash-552B,xsbench,xsbench_XXL100hash,9.339719719808409,0.05781757911372075,0.07227197389215094,0.0174443,0.6351295632592217,1.9925280199252802,5.3947094355342635,0.33884297520661155
xs.XXL100hash-563B,xsbench,xsbench_XXL100hash,9.338889719833308,0.05353955341587705,0.06831647015865912,0.0117729,0.6609652110295415,2.1639344262295084,4.884318766066838,0.3387409448015508
bc.twitter-2320B,gap,bc,19.05457942836262,0.3867311690942545,0.3857340334974584,4.6811,4.7460513718566135,10.90289608177172,40.61360431759615,0.3213957759412304
bc.twitter-309B,gap,bc,42.71722,0.9371864554856332,0.9445137113323386,43.312200000000004,1.0318769665788956,5.512630014858841,10.009107365722574,0.3011937557392103
bc.kron-2608B,gap,bc,18.14401927423923,0.4304448518024121,0.42978347687006524,1.3457999999999999,3.5828992055076605,0.3683241252302026,31.23265553256976,0.2877257422711968
cc.twitter-10B,gap,cc,14.9116298508837,0.4161852191879761,0.41222857595044937,90.642,0.05270631348971884,68.90756302521008,81.87866307619198,0.279971431486583
cc.kron-82B,gap,cc,17.43343,0.4352557127312296,0.43496890743818056,83.4323,0.05775159326745334,0.0,84.23479807628961,0.2722171207019692
xs.XL100hash-194B,xsbench,xsbench_XL100hash,8.216689835666203,0.06243389978202901,0.0789855769172258,0.08661289999999999,0.5815434556345666,2.4630541871921183,7.68427646690332,0.24987246199367413
cc.twitter-69B,gap,cc,24.056809759431903,0.7775760792889831,0.6787682988725439,71.906,2.1554847047653563,6.131615247451468,35.889158995204504,0.24915824915824913
xs.XL64hash-126B,xsbench,xsbench_XL64hash,8.210469917895301,0.06126324071581773,0.07539154274968425,0.042906,0.5468693185950113,1.3340448239060834,6.43011174279553,0.24487297214569942
cc.twitter-17B,gap,cc,14.27011,0.4517134065539789,0.44940088058185956,88.4512,0.051253844533756865,67.74193548387096,83.27410383189122,0.24334251606978882
tc.urand-187B,gap,tc,9.29541,0.1711597444330051,0.1718052242988744,20.1142,0.49735396694762746,0.5378271782000718,15.497690046199075,0.23875114784205692
bfs.road-128B,gap,bfs,9.72265,0.29858114814376735,0.4055478701794264,69.9857,0.04837555006470618,33.61522198731501,96.84051758355164,0.23252729313335374
bc.road-174B,gap,bc,8.776559561172022,0.2325512501481218,0.32643769312805926,69.0739,0.046604605700894405,57.05996131528046,97.73697270471465,0.22487501275380062
bfs.kron-542B,gap,bfs,17.573989824260103,1.7795048250283516,1.7114497049332564,89.99669999999999,0.08620701433385468,53.20832112510987,76.20823620823622,0.19865319865319866
bc.twitter-1658B,gap,bc,9.877009802459805,0.5109845995903618,0.5091621857221973,28.3978,0.8454702049977889,23.49397590361446,27.18035563082134,0.19753086419753085
bfs.road-140B,gap,bfs,8.578079571096021,0.3336410945106597,0.4813431443866227,69.4432,0.05279492065109137,45.583038869257955,96.21347644603459,0.1963064993368024
cc.kron-17B,gap,cc,18.19109927235603,2.121806817619605,2.1279636745441453,75.7702,0.41536943378042235,10.082372322899506,34.43963327608312,0.192939495969799
cc.kron-78B,gap,cc,18.20111927195523,2.1275613808381024,2.134264265056216,75.8741,0.4154740956319603,10.016750418760468,34.319226731347065,0.18977655341291702
sssp.road-66B,gap,sssp,4.445829777708511,0.046785414646983804,0.18061869212273074,75.75309999999999,0.021365876681843827,23.699421965317917,97.48045178105995,0.1799816345270891
bc.road-131B,gap,bc,8.476379660944813,0.2916339286346294,0.4977360618565944,69.5318,0.0651723163492539,65.54934823091247,95.78428688748973,0.1763085399449036
tc.urand-1112B,gap,tc,8.103439837931203,0.25445983434195846,0.25618749568084664,26.731700000000004,0.7326932357331516,0.5882352941176471,10.675499565595134,0.16569737781858992
bc.road-95B,gap,bc,7.92505,0.2706607529290036,0.41034441423082507,69.0436,0.05230832629296323,49.24554183813443,97.17389117972442,0.15712682379349047
bc.road-79B,gap,bc,7.374999778750007,0.22671186440677968,0.264,69.7488,0.038345000538322384,46.5359477124183,97.16585024492652,0.15651464136312623
xs.XXL100unionized-24B,xsbench,xsbench_XXL100unionized,8.576519571174021,0.5616497134035716,0.552788310410283,90.0149,0.02942990677923456,10.344827586206897,53.22825826066085,0.14998469543924087
xs.XXL64unionized-24B,xsbench,xsbench_XXL64unionized,8.5775699142243,0.5630965413281384,0.5538864736749453,91.0959,0.031559395914010566,21.69811320754717,53.20721723233447,0.14692378328741967
cc.twitter-15B,gap,cc,16.63940916802954,2.8744408605833978,2.7738964302219853,85.2848,0.3919786469135482,6.5905383360522025,49.66616367281973,0.14539332721150902
xs.XXL64nuclide-24B,xsbench,xsbench_XXL64nuclide,8.575149742745507,0.5583575797507915,0.5490282968811041,90.88969999999999,0.03097231456073868,10.377358490566039,53.47361657698176,0.1447811447811448
xs.XXL64hash-24B,xsbench,xsbench_XXL64hash,8.57619,0.5620211305952877,0.5531593866273952,90.3103,0.03132015650551209,9.333333333333334,53.38406087304766,0.14223038465462706
bfs.road-112B,gap,bfs,7.87586,0.3651664707092305,0.4597593151732002,71.2407,0.053696977604155156,37.82258064516129,96.25587278641127,0.14049586776859502
cc.kron-99B,gap,cc,11.8165398818346,2.6951205682881794,2.715431082194957,72.44850000000001,0.49923240395872415,13.502109704641349,41.684922166287045,0.13998571574329152
cc.twitter-78B,gap,cc,14.251669572449913,2.8602262050693006,2.7579925720985683,87.3302,0.2998828200202311,6.30965005302227,49.07204837639193,0.13794510764207737
cc.twitter-16B,gap,cc,11.470139426493029,2.6102558469207877,2.5105186161633597,88.4062,0.2053847344960674,4.412811387900356,49.53905870936438,0.1361085603509846
cc.kron-10B,gap,cc,11.753249764935005,2.712015825409993,2.7312445493799586,72.4915,0.49545585721965807,14.925912540657752,41.79182828312287,0.1322314049586777
cc.twitter-85B,gap,cc,13.50277,3.095883289132526,2.981092027783929,87.6635,0.30301129689171724,6.997245179063361,47.59086051844826,0.1248852157943067
sssp.twitter-1116B,gap,sssp,21.721438913928054,3.3047532760258984,3.291908823724394,74.1534,0.1921381699828254,5.4902122059549265,47.7880661345883,0.11753902662993569
cc.urand-353B,gap,cc,22.61109,3.9765000271990427,3.9762788967714515,73.40259999999999,0.5600572351812507,5.263157894736842,54.024860742042,0.09947964493419037
cc.twitter-25B,gap,cc,14.395159424193624,3.606976233678542,3.478947090549879,83.7639,0.31602352901563335,5.724838411819022,45.229752823577705,0.08815426997245181
sssp.web-1185B,gap,sssp,7.2167899278321,1.809807407448464,1.491244722376569,77.2594,0.7168326534467593,8.197007829977629,40.505215840519874,0.08162432404856647
bfs.urand-161B,gap,bfs,12.062989879370102,5.4760884324698935,5.44110539758385,72.0212,0.5974558747140433,33.13373253493014,93.06844588911224,0.07142128354249568
bc.kron-5154B,gap,bc,2.8610599427788013,0.7402850691701677,0.7402850691701677,0.0823265,1.6493452577805612,0.26041666666666663,17.262766177382673,0.06591164166921742
xs.XL64hash-49B,xsbench,xsbench_XL64hash,2.78306,1.2216768592843847,1.84509137424274,87.13260000000001,0.03463659783378548,13.100436681222707,56.48810297750617,0.055504540353025204
bfs.road-19B,gap,bfs,2.2736899772631003,0.9702290109909443,0.6394891124119823,74.0689,0.029376622927271095,25.35421327367636,91.39084991289998,0.042852770125497396
tc.twitter-34B,gap,tc,3.88123,3.308229607624387,2.9444274108980917,85.3638,0.2694376607698957,0.4598268359427572,12.07497551117661,0.03469033772064075
bfs.urand-36B,gap,bfs,6.673249933267501,6.721162851683962,6.520660847413179,91.6557,0.09378481198987802,33.798103736754044,80.53125977373467,0.031833486378940914
bfs.twitter-163B,gap,bfs,3.098659907040203,8.787346788611853,8.781537826028025,87.3373,0.1310727108059634,20.51282051282051,37.71449568252802,0.023262932353841442
bfs.twitter-44B,gap,bfs,2.872849856357507,9.99460466087683,9.160937744748246,70.7159,0.40476353941183363,49.842406111437576,84.62229365604614,0.02020202020202021
xs.XXL100hash-94B,xsbench,xsbench_XXL100hash,1.30941,3.1640204366852247,4.553959416836591,85.3341,0.034344068983940663,13.043478260869565,53.60318743503869,0.0202020202020202
bfs.urand-60B,gap,bfs,6.41818,12.872340757037042,12.825754341573466,60.2873,0.6858573961834687,26.74675165481736,89.18107440112784,0.016426895214774005
bfs.twitter-10B,gap,bfs,2.7742698890292044,10.010921792038987,10.010561336856181,89.1357,0.1300157397814205,28.985507246376812,33.87149144959954,0.015304560759106212
xs.XXL100nuclide-30B,xsbench,xsbench_XXL100nuclide,1.2893499355325033,3.152751386357467,4.133090316826308,86.226,0.03137615189896373,19.0,53.217073784940816,0.01408019589837772
bfs.twitter-242B,gap,bfs,2.2817899771821004,10.939218771227852,10.93264498485838,78.96889999999999,0.15331051190845024,4.615384615384616,49.78933285409053,0.011937557392102852
bfs.twitter-160B,gap,bfs,2.71269,12.805370315074704,12.292963810829841,51.69669999999999,0.677862582587799,25.05584950029395,75.82183858008185,0.0114274053667993
bfs.urand-410B,gap,bfs,4.529119954708801,20.7523757374501,20.730296393118312,48.4615,1.1221853143915073,22.60536398467433,79.97086518861646,0.011223344556677887
bfs.twitter-408B,gap,bfs,1.7491699650166006,15.037989446423161,14.768718878096468,88.0593,0.08943115649082513,43.02600472813239,42.07127118000152,0.006734006734006728
xs.XL100hash-28B,xsbench,xsbench_XL100hash,1.0289999588400016,3.2526724975704564,4.710398445092323,83.8832,0.028554098208678963,13.253012048192772,58.04729214340198,0.0058157330884603614
xs.XL64unionized-28B,xsbench,xsbench_XL64unionized,1.02862,3.216931422682818,4.721860356594272,85.5334,0.029582577991508617,23.076923076923077,58.02604435275916,0.004285277012549741
xs.XL100unionized-28B,xsbench,xsbench_XL100unionized,1.0285699794286005,3.2443100615417517,4.739589916097105,85.5282,0.028957815156815184,10.909090909090908,57.61106132377416,0.002040608101214162
bfs.kron-128B,gap,bfs,1.0959699780806005,22.8874877961988,22.889312663667802,87.1723,0.10284924174873149,0.0,11.543830262423228,0.0016324864809713312
cc.web-13B,gap,cc,1.11759,69.3125385874963,69.03784035290222,84.1132,0.5303980273002258,31.25,5.753097662610039,0.00153045607591062
cc.web-34B,gap,cc,1.2899399355030032,78.84320200939578,78.60598167356622,79.7604,0.694891777987224,20.967741935483872,3.772006479389573,0.0014284256708499146
cc.web-101B,gap,cc,1.33716,79.16330132519668,78.87836908073828,78.1469,0.6360794056415041,3.865336658354115,5.620684279082867,0.0010203040506070763
cc.web-99B,gap,cc,1.2901599741968006,79.3785266943635,79.0948409499597,79.4795,0.6914491002263976,19.49685534591195,3.3840525925140494,0.0
